"mandante","visitante","vencedor","mandante_Placar","visitante_Placar","vencedor_Estado"
"Cruzeiro","Internacional","Cruzeiro","2","0","MG"
"Flamengo","Athletico-PR","Flamengo","1","0","RJ"
"Sao Paulo","Goias","Sao Paulo","2","1","SP"
"Atletico-MG","Gremio","Gremio","0","4","RS"
"Coritiba","Sport","Coritiba","3","0","PR"
"Vitoria","Vasco","Vitoria","5","0","BA"
"Portuguesa","Cruzeiro","Portuguesa","2","1","SP"
"Botafogo-RJ","Palmeiras","Botafogo-RJ","1","0","RJ"
"Ipatinga","Fluminense","Ipatinga","2","1","MG"
"Nautico","Santos","Nautico","1","0","PE"
"Internacional","Figueirense","Empate","1","1",""
"Athletico-PR","Ipatinga","Athletico-PR","5","0","PR"
"Figueirense","Portuguesa","Figueirense","2","1","SC"
"Cruzeiro","Vitoria","Cruzeiro","2","1","MG"
"Gremio","Sao Paulo","Gremio","1","0","RS"
"Santos","Flamengo","Empate","2","2",""
"Vasco","Internacional","Vasco","4","0","RJ"
"Goias","Nautico","Goias","3","0","GO"
"Fluminense","Atletico-MG","Fluminense","1","0","RJ"
"Sport","Botafogo-RJ","Botafogo-RJ","0","1","RJ"
"Palmeiras","Coritiba","Palmeiras","1","0","SP"
"Vitoria","Sport","Empate","0","0",""
"Coritiba","Figueirense","Coritiba","3","0","PR"
"Botafogo-RJ","Cruzeiro","Botafogo-RJ","1","0","RJ"
"Sao Paulo","Athletico-PR","Sao Paulo","3","1","SP"
"Internacional","Palmeiras","Internacional","4","1","RS"
"Nautico","Fluminense","Fluminense","1","3","RJ"
"Ipatinga","Santos","Empate","1","1",""
"Portuguesa","Vasco","Vasco","0","1","RJ"
"Atletico-MG","Goias","Empate","1","1",""
"Flamengo","Gremio","Flamengo","2","1","RJ"
"Fluminense","Sport","Empate","1","1",""
"Figueirense","Vitoria","Vitoria","1","2","BA"
"Coritiba","Sao Paulo","Empate","2","2",""
"Palmeiras","Portuguesa","Palmeiras","4","2","SP"
"Internacional","Flamengo","Empate","1","1",""
"Santos","Cruzeiro","Santos","2","0","SP"
"Ipatinga","Goias","Ipatinga","1","0","MG"
"Vasco","Botafogo-RJ","Empate","1","1",""
"Atletico-MG","Athletico-PR","Atletico-MG","4","0","MG"
"Nautico","Gremio","Empate","1","1",""
"Goias","Figueirense","Goias","2","0","GO"
"Vitoria","Ipatinga","Empate","0","0",""
"Botafogo-RJ","Nautico","Empate","1","1",""
"Gremio","Vasco","Gremio","2","1","RS"
"Sport","Internacional","Sport","1","0","PE"
"Athletico-PR","Palmeiras","Palmeiras","1","2","SP"
"Sao Paulo","Santos","Empate","0","0",""
"Portuguesa","Atletico-MG","Empate","1","1",""
"Cruzeiro","Coritiba","Empate","1","1",""
"Flamengo","Fluminense","Empate","2","2",""
"Goias","Athletico-PR","Goias","4","0","GO"
"Santos","Vitoria","Santos","2","0","SP"
"Figueirense","Flamengo","Flamengo","2","3","RJ"
"Atletico-MG","Sao Paulo","Empate","1","1",""
"Palmeiras","Sport","Sport","0","3","PE"
"Vasco","Cruzeiro","Cruzeiro","1","3","MG"
"Internacional","Portuguesa","Internacional","1","0","RS"
"Fluminense","Gremio","Empate","0","0",""
"Nautico","Ipatinga","Nautico","2","0","PE"
"Coritiba","Botafogo-RJ","Botafogo-RJ","0","1","RJ"
"Gremio","Goias","Goias","1","2","GO"
"Athletico-PR","Portuguesa","Athletico-PR","2","0","PR"
"Ipatinga","Atletico-MG","Ipatinga","3","2","MG"
"Cruzeiro","Palmeiras","Palmeiras","0","1","SP"
"Sao Paulo","Flamengo","Sao Paulo","2","0","SP"
"Sport","Figueirense","Sport","5","0","PE"
"Vasco","Nautico","Nautico","1","3","PE"
"Santos","Fluminense","Santos","2","1","SP"
"Vitoria","Coritiba","Vitoria","1","0","BA"
"Botafogo-RJ","Internacional","Internacional","1","2","RS"
"Goias","Santos","Goias","4","1","GO"
"Fluminense","Coritiba","Coritiba","2","3","PR"
"Atletico-MG","Nautico","Atletico-MG","2","1","MG"
"Sport","Sao Paulo","Empate","0","0",""
"Athletico-PR","Gremio","Empate","0","0",""
"Portuguesa","Botafogo-RJ","Portuguesa","3","1","SP"
"Figueirense","Cruzeiro","Cruzeiro","3","4","MG"
"Palmeiras","Vasco","Palmeiras","2","0","SP"
"Internacional","Vitoria","Internacional","1","0","RS"
"Flamengo","Ipatinga","Flamengo","1","0","RJ"
"Goias","Vitoria","Goias","3","0","GO"
"Flamengo","Sport","Flamengo","2","1","RJ"
"Atletico-MG","Figueirense","Empate","0","0",""
"Coritiba","Athletico-PR","Empate","1","1",""
"Nautico","Palmeiras","Empate","0","0",""
"Sao Paulo","Cruzeiro","Sao Paulo","2","0","SP"
"Ipatinga","Vasco","Ipatinga","3","1","MG"
"Internacional","Gremio","Internacional","4","1","RS"
"Santos","Portuguesa","Empate","1","1",""
"Botafogo-RJ","Fluminense","Empate","1","1",""
"Fluminense","Goias","Empate","1","1",""
"Vitoria","Portuguesa","Vitoria","3","1","BA"
"Cruzeiro","Sport","Cruzeiro","1","0","MG"
"Gremio","Botafogo-RJ","Gremio","2","1","RS"
"Ipatinga","Sao Paulo","Sao Paulo","1","3","SP"
"Palmeiras","Atletico-MG","Palmeiras","3","1","SP"
"Nautico","Flamengo","Flamengo","0","2","RJ"
"Santos","Athletico-PR","Santos","4","0","SP"
"Coritiba","Internacional","Coritiba","4","2","PR"
"Vasco","Figueirense","Figueirense","2","4","SC"
"Gremio","Santos","Gremio","2","0","RS"
"Sport","Vasco","Empate","2","2",""
"Figueirense","Palmeiras","Empate","0","0",""
"Botafogo-RJ","Vitoria","Botafogo-RJ","3","1","RJ"
"Sao Paulo","Nautico","Sao Paulo","1","0","SP"
"Cruzeiro","Ipatinga","Cruzeiro","1","0","MG"
"Goias","Internacional","Empate","1","1",""
"Portuguesa","Coritiba","Empate","0","0",""
"Athletico-PR","Fluminense","Fluminense","1","3","RJ"
"Flamengo","Atletico-MG","Atletico-MG","0","3","MG"
"Botafogo-RJ","Santos","Santos","0","1","SP"
"Internacional","Athletico-PR","Internacional","2","1","RS"
"Figueirense","Ipatinga","Empate","1","1",""
"Palmeiras","Sao Paulo","Empate","2","2",""
"Vitoria","Fluminense","Empate","2","2",""
"Coritiba","Goias","Empate","1","1",""
"Atletico-MG","Cruzeiro","Cruzeiro","0","2","MG"
"Portuguesa","Gremio","Portuguesa","2","0","SP"
"Sport","Nautico","Empate","2","2",""
"Vasco","Flamengo","Flamengo","0","1","RJ"
"Goias","Vasco","Vasco","2","4","RJ"
"Gremio","Sport","Gremio","1","0","RS"
"Flamengo","Coritiba","Flamengo","5","0","RJ"
"Sao Paulo","Vitoria","Sao Paulo","2","1","SP"
"Fluminense","Palmeiras","Fluminense","3","0","RJ"
"Ipatinga","Botafogo-RJ","Botafogo-RJ","0","3","RJ"
"Santos","Figueirense","Santos","3","0","SP"
"Athletico-PR","Cruzeiro","Athletico-PR","1","0","PR"
"Nautico","Portuguesa","Empate","1","1",""
"Atletico-MG","Internacional","Empate","2","2",""
"Portuguesa","Ipatinga","Portuguesa","2","0","SP"
"Coritiba","Atletico-MG","Coritiba","2","1","PR"
"Internacional","Nautico","Empate","1","1",""
"Palmeiras","Goias","Palmeiras","1","0","SP"
"Botafogo-RJ","Sao Paulo","Sao Paulo","1","2","SP"
"Cruzeiro","Gremio","Cruzeiro","3","0","MG"
"Vitoria","Flamengo","Empate","0","0",""
"Sport","Santos","Empate","1","1",""
"Vasco","Athletico-PR","Empate","2","2",""
"Flamengo","Portuguesa","Empate","2","2",""
"Nautico","Vitoria","Nautico","1","0","PE"
"Ipatinga","Coritiba","Ipatinga","2","0","MG"
"Santos","Palmeiras","Palmeiras","1","2","SP"
"Goias","Cruzeiro","Goias","3","0","GO"
"Athletico-PR","Sport","Athletico-PR","1","0","PR"
"Atletico-MG","Botafogo-RJ","Atletico-MG","2","1","MG"
"Fluminense","Vasco","Vasco","0","1","RJ"
"Gremio","Figueirense","Empate","1","1",""
"Sao Paulo","Internacional","Sao Paulo","3","0","SP"
"Figueirense","Fluminense","Fluminense","0","1","RJ"
"Portuguesa","Sao Paulo","Sao Paulo","2","3","SP"
"Vasco","Santos","Vasco","1","0","RJ"
"Figueirense","Athletico-PR","Athletico-PR","0","2","PR"
"Palmeiras","Gremio","Gremio","0","1","RS"
"Cruzeiro","Fluminense","Cruzeiro","1","0","MG"
"Coritiba","Nautico","Empate","0","0",""
"Sport","Goias","Sport","2","1","PE"
"Botafogo-RJ","Flamengo","Flamengo","0","1","RJ"
"Internacional","Ipatinga","Internacional","4","0","RS"
"Vitoria","Atletico-MG","Atletico-MG","0","1","MG"
"Atletico-MG","Vasco","Atletico-MG","4","1","MG"
"Fluminense","Portuguesa","Fluminense","3","1","RJ"
"Ipatinga","Sport","Ipatinga","3","0","MG"
"Nautico","Cruzeiro","Nautico","5","2","PE"
"Flamengo","Palmeiras","Flamengo","5","2","RJ"
"Sao Paulo","Figueirense","Sao Paulo","3","1","SP"
"Goias","Botafogo-RJ","Goias","3","1","GO"
"Gremio","Coritiba","Gremio","2","1","RS"
"Athletico-PR","Vitoria","Athletico-PR","2","1","PR"
"Santos","Internacional","Santos","1","0","SP"
"Figueirense","Nautico","Figueirense","4","3","SC"
"Botafogo-RJ","Athletico-PR","Empate","2","2",""
"Portuguesa","Goias","Empate","0","0",""
"Coritiba","Santos","Coritiba","5","1","PR"
"Vitoria","Gremio","Vitoria","4","2","BA"
"Cruzeiro","Flamengo","Cruzeiro","3","2","MG"
"Vasco","Sao Paulo","Sao Paulo","1","2","SP"
"Internacional","Fluminense","Fluminense","0","2","RJ"
"Sport","Atletico-MG","Sport","3","0","PE"
"Palmeiras","Ipatinga","Palmeiras","2","0","SP"
"Coritiba","Vasco","Vasco","0","2","RJ"
"Botafogo-RJ","Figueirense","Figueirense","1","3","SC"
"Portuguesa","Sport","Empate","2","2",""
"Nautico","Athletico-PR","Nautico","2","1","PE"
"Atletico-MG","Santos","Empate","0","0",""
"Internacional","Cruzeiro","Internacional","1","0","RS"
"Vitoria","Palmeiras","Empate","0","0",""
"Flamengo","Goias","Empate","3","3",""
"Ipatinga","Gremio","Gremio","1","4","RS"
"Sao Paulo","Fluminense","Empate","1","1",""
"Santos","Nautico","Empate","0","0",""
"Vasco","Vitoria","Vitoria","0","2","BA"
"Figueirense","Internacional","Figueirense","3","1","SC"
"Athletico-PR","Flamengo","Athletico-PR","5","3","PR"
"Sport","Coritiba","Sport","4","3","PE"
"Cruzeiro","Portuguesa","Cruzeiro","4","1","MG"
"Fluminense","Ipatinga","Empate","1","1",""
"Palmeiras","Botafogo-RJ","Botafogo-RJ","0","1","RJ"
"Gremio","Atletico-MG","Gremio","2","0","RS"
"Goias","Sao Paulo","Sao Paulo","0","1","SP"
"Sport","Barueri","Empate","1","1",""
"Palmeiras","Coritiba","Palmeiras","2","1","SP"
"Avai","Atletico-MG","Empate","2","2",""
"Corinthians","Internacional","Internacional","0","1","RS"
"Fluminense","Sao Paulo","Fluminense","1","0","RJ"
"Athletico-PR","Vitoria","Vitoria","0","2","BA"
"Cruzeiro","Flamengo","Cruzeiro","2","0","MG"
"Gremio","Santos","Empate","1","1",""
"Santo Andre","Botafogo-RJ","Empate","1","1",""
"Goias","Nautico","Empate","3","3",""
"Coritiba","Santo Andre","Santo Andre","2","4","SP"
"Atletico-MG","Gremio","Atletico-MG","2","1","MG"
"Flamengo","Avai","Empate","0","0",""
"Santos","Goias","Empate","3","3",""
"Sao Paulo","Athletico-PR","Empate","2","2",""
"Barueri","Fluminense","Empate","0","0",""
"Internacional","Palmeiras","Internacional","2","0","RS"
"Botafogo-RJ","Corinthians","Empate","0","0",""
"Vitoria","Sport","Vitoria","1","0","BA"
"Nautico","Cruzeiro","Nautico","2","0","PE"
"Corinthians","Barueri","Corinthians","2","1","SP"
"Cruzeiro","Vitoria","Cruzeiro","2","0","MG"
"Goias","Internacional","Internacional","0","1","RS"
"Palmeiras","Sao Paulo","Empate","0","0",""
"Fluminense","Santos","Santos","1","4","SP"
"Athletico-PR","Nautico","Nautico","2","3","PE"
"Gremio","Botafogo-RJ","Gremio","2","0","RS"
"Sport","Atletico-MG","Atletico-MG","2","3","MG"
"Avai","Coritiba","Empate","2","2",""
"Santo Andre","Flamengo","Flamengo","1","2","RJ"
"Botafogo-RJ","Sport","Empate","2","2",""
"Coritiba","Goias","Goias","1","3","GO"
"Atletico-MG","Santo Andre","Empate","0","0",""
"Sao Paulo","Cruzeiro","Sao Paulo","3","0","SP"
"Santos","Corinthians","Santos","3","1","SP"
"Flamengo","Athletico-PR","Flamengo","2","1","RJ"
"Nautico","Fluminense","Empate","1","1",""
"Vitoria","Gremio","Vitoria","1","0","BA"
"Barueri","Palmeiras","Empate","2","2",""
"Internacional","Avai","Internacional","2","1","RS"
"Goias","Corinthians","Empate","0","0",""
"Fluminense","Gremio","Empate","0","0",""
"Coritiba","Flamengo","Coritiba","5","0","PR"
"Atletico-MG","Nautico","Atletico-MG","3","0","MG"
"Barueri","Avai","Barueri","3","1","SP"
"Palmeiras","Cruzeiro","Palmeiras","3","1","SP"
"Internacional","Vitoria","Empate","0","0",""
"Gremio","Nautico","Gremio","3","0","RS"
"Santo Andre","Santos","Empate","3","3",""
"Corinthians","Coritiba","Corinthians","2","0","SP"
"Palmeiras","Vitoria","Palmeiras","2","1","SP"
"Athletico-PR","Atletico-MG","Atletico-MG","0","4","MG"
"Sport","Flamengo","Sport","4","2","PE"
"Avai","Sao Paulo","Empate","0","0",""
"Cruzeiro","Internacional","Empate","1","1",""
"Goias","Barueri","Empate","2","2",""
"Fluminense","Botafogo-RJ","Fluminense","1","0","RJ"
"Sao Paulo","Santo Andre","Empate","1","1",""
"Sport","Athletico-PR","Athletico-PR","0","1","PR"
"Botafogo-RJ","Santos","Botafogo-RJ","2","0","RJ"
"Athletico-PR","Palmeiras","Empate","2","2",""
"Vitoria","Botafogo-RJ","Vitoria","4","3","BA"
"Santo Andre","Sport","Santo Andre","2","1","SP"
"Gremio","Goias","Empate","2","2",""
"Avai","Fluminense","Avai","3","2","SC"
"Nautico","Coritiba","Coritiba","0","1","PR"
"Corinthians","Sao Paulo","Corinthians","3","1","SP"
"Santos","Atletico-MG","Atletico-MG","2","3","MG"
"Cruzeiro","Barueri","Barueri","2","4","SP"
"Flamengo","Internacional","Flamengo","4","0","RJ"
"Athletico-PR","Corinthians","Athletico-PR","1","0","PR"
"Barueri","Atletico-MG","Barueri","4","2","SP"
"Sao Paulo","Nautico","Sao Paulo","2","0","SP"
"Cruzeiro","Avai","Cruzeiro","1","0","MG"
"Botafogo-RJ","Goias","Goias","1","4","GO"
"Palmeiras","Santos","Empate","1","1",""
"Internacional","Coritiba","Internacional","3","0","RS"
"Vitoria","Santo Andre","Vitoria","4","1","BA"
"Sport","Gremio","Sport","3","1","PE"
"Fluminense","Flamengo","Empate","0","0",""
"Santos","Sport","Santos","1","0","SP"
"Santo Andre","Barueri","Empate","1","1",""
"Flamengo","Vitoria","Flamengo","2","1","RJ"
"Coritiba","Sao Paulo","Coritiba","2","0","PR"
"Goias","Cruzeiro","Goias","1","0","GO"
"Atletico-MG","Botafogo-RJ","Empate","1","1",""
"Gremio","Athletico-PR","Gremio","4","1","RS"
"Avai","Palmeiras","Palmeiras","0","3","SP"
"Nautico","Internacional","Internacional","0","2","RS"
"Corinthians","Fluminense","Corinthians","4","2","SP"
"Barueri","Coritiba","Barueri","3","1","SP"
"Avai","Botafogo-RJ","Botafogo-RJ","1","2","RJ"
"Palmeiras","Nautico","Palmeiras","4","1","SP"
"Cruzeiro","Atletico-MG","Atletico-MG","0","3","MG"
"Athletico-PR","Internacional","Athletico-PR","3","2","PR"
"Gremio","Corinthians","Gremio","3","0","RS"
"Sao Paulo","Flamengo","Empate","2","2",""
"Vitoria","Santos","Vitoria","6","2","BA"
"Sport","Goias","Sport","1","0","PE"
"Fluminense","Santo Andre","Santo Andre","0","1","SP"
"Goias","Avai","Avai","0","2","SC"
"Coritiba","Gremio","Coritiba","2","1","PR"
"Santos","Barueri","Empate","3","3",""
"Santo Andre","Athletico-PR","Santo Andre","1","0","SP"
"Flamengo","Palmeiras","Palmeiras","1","2","SP"
"Internacional","Fluminense","Internacional","4","2","RS"
"Atletico-MG","Sao Paulo","Atletico-MG","2","0","MG"
"Corinthians","Sport","Corinthians","4","3","SP"
"Nautico","Vitoria","Empate","1","1",""
"Fluminense","Goias","Goias","1","4","GO"
"Palmeiras","Santo Andre","Palmeiras","1","0","SP"
"Gremio","Internacional","Gremio","2","1","RS"
"Sao Paulo","Santos","Sao Paulo","2","1","SP"
"Athletico-PR","Coritiba","Empate","0","0",""
"Cruzeiro","Corinthians","Corinthians","1","2","SP"
"Vitoria","Atletico-MG","Empate","0","0",""
"Barueri","Nautico","Barueri","4","0","SP"
"Sport","Avai","Avai","1","3","SC"
"Botafogo-RJ","Flamengo","Empate","2","2",""
"Flamengo","Barueri","Empate","1","1",""
"Santo Andre","Cruzeiro","Cruzeiro","0","2","MG"
"Avai","Gremio","Avai","1","0","SC"
"Santos","Athletico-PR","Santos","1","0","SP"
"Goias","Palmeiras","Goias","2","1","GO"
"Internacional","Sao Paulo","Empate","2","2",""
"Nautico","Botafogo-RJ","Empate","2","2",""
"Atletico-MG","Fluminense","Atletico-MG","2","1","MG"
"Coritiba","Sport","Empate","1","1",""
"Corinthians","Vitoria","Corinthians","2","1","SP"
"Gremio","Santo Andre","Gremio","3","2","RS"
"Athletico-PR","Avai","Avai","1","3","SC"
"Botafogo-RJ","Internacional","Botafogo-RJ","3","2","RJ"
"Santos","Flamengo","Flamengo","1","2","RJ"
"Corinthians","Palmeiras","Palmeiras","0","3","SP"
"Atletico-MG","Goias","Goias","0","1","GO"
"Sport","Nautico","Empate","3","3",""
"Fluminense","Cruzeiro","Empate","1","1",""
"Vitoria","Coritiba","Vitoria","1","0","BA"
"Barueri","Sao Paulo","Sao Paulo","1","2","SP"
"Nautico","Santos","Santos","1","2","SP"
"Coritiba","Botafogo-RJ","Empate","2","2",""
"Goias","Athletico-PR","Goias","3","0","GO"
"Internacional","Barueri","Internacional","3","2","RS"
"Cruzeiro","Sport","Cruzeiro","1","0","MG"
"Santo Andre","Corinthians","Empate","1","1",""
"Palmeiras","Fluminense","Palmeiras","1","0","SP"
"Avai","Vitoria","Avai","4","0","SC"
"Flamengo","Atletico-MG","Flamengo","3","1","RJ"
"Sao Paulo","Gremio","Sao Paulo","2","1","SP"
"Sport","Palmeiras","Palmeiras","0","1","SP"
"Botafogo-RJ","Barueri","Botafogo-RJ","2","1","RJ"
"Flamengo","Nautico","Empate","1","1",""
"Corinthians","Avai","Empate","0","0",""
"Vitoria","Sao Paulo","Sao Paulo","0","1","SP"
"Athletico-PR","Fluminense","Athletico-PR","1","0","PR"
"Atletico-MG","Coritiba","Atletico-MG","3","2","MG"
"Santo Andre","Goias","Goias","1","2","GO"
"Gremio","Cruzeiro","Gremio","4","1","RS"
"Cruzeiro","Athletico-PR","Athletico-PR","0","2","PR"
"Avai","Santo Andre","Avai","1","0","SC"
"Sao Paulo","Botafogo-RJ","Sao Paulo","3","1","SP"
"Nautico","Corinthians","Nautico","1","0","PE"
"Coritiba","Santos","Santos","0","1","SP"
"Goias","Flamengo","Goias","3","2","GO"
"Palmeiras","Gremio","Empate","1","1",""
"Fluminense","Sport","Fluminense","5","1","RJ"
"Barueri","Vitoria","Barueri","4","0","SP"
"Santos","Avai","Empate","2","2",""
"Nautico","Santo Andre","Nautico","2","1","PE"
"Botafogo-RJ","Athletico-PR","Athletico-PR","0","1","PR"
"Flamengo","Corinthians","Flamengo","1","0","RJ"
"Vitoria","Fluminense","Empate","2","2",""
"Coritiba","Cruzeiro","Cruzeiro","1","3","MG"
"Sao Paulo","Goias","Sao Paulo","3","1","SP"
"Barueri","Gremio","Barueri","1","0","SP"
"Internacional","Sport","Internacional","3","0","RS"
"Atletico-MG","Palmeiras","Empate","1","1",""
"Avai","Nautico","Avai","2","1","SC"
"Santo Andre","Internacional","Internacional","0","2","RS"
"Palmeiras","Botafogo-RJ","Empate","1","1",""
"Fluminense","Coritiba","Coritiba","1","3","PR"
"Gremio","Flamengo","Gremio","4","1","RS"
"Corinthians","Atletico-MG","Corinthians","2","0","SP"
"Sport","Sao Paulo","Sao Paulo","1","2","SP"
"Goias","Vitoria","Goias","3","2","GO"
"Athletico-PR","Barueri","Athletico-PR","3","0","PR"
"Cruzeiro","Santos","Empate","0","0",""
"Santos","Gremio","Santos","1","0","SP"
"Vitoria","Athletico-PR","Vitoria","2","1","BA"
"Botafogo-RJ","Santo Andre","Santo Andre","1","2","SP"
"Barueri","Sport","Barueri","2","1","SP"
"Sao Paulo","Fluminense","Sao Paulo","1","0","SP"
"Coritiba","Palmeiras","Coritiba","1","0","PR"
"Internacional","Corinthians","Corinthians","1","2","SP"
"Flamengo","Cruzeiro","Cruzeiro","1","2","MG"
"Nautico","Goias","Nautico","2","0","PE"
"Atletico-MG","Avai","Empate","2","2",""
"Palmeiras","Internacional","Palmeiras","2","1","SP"
"Santo Andre","Coritiba","Santo Andre","1","0","SP"
"Sport","Vitoria","Sport","2","0","PE"
"Corinthians","Botafogo-RJ","Empate","3","3",""
"Athletico-PR","Sao Paulo","Athletico-PR","1","0","PR"
"Gremio","Atletico-MG","Gremio","4","1","RS"
"Fluminense","Barueri","Empate","0","0",""
